COU,country,MAT,material,STREAMs,stream,YEA,year,value,Flag Codes,Flags
AUS,Australia,SOLID_HAZW,Solid hazardous waste,GEN,Waste generated,2019,2019,7829.738,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,EXP_RECYCLE,Exports of waste for recycling,2018,2018,45.003,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,EXP_RECYCLE,Exports of waste for recycling,2019,2019,57.347,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,EXP_RECYCLE,Exports of waste for recycling,2020,2020,42.402,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,EXP_RECYCLE,Exports of waste for recycling,2021,2021,41.522,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,RECYCLED,Waste recycled in country,2015,2015,1855.832,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,RECYCLED,Waste recycled in country,2016,2016,1730.319,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,RECYCLED,Waste recycled in country,2017,2017,1772.335,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,RECYCLED,Waste recycled in country,2018,2018,1935.02,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,RECYCLED,Waste recycled in country,2019,2019,1966.444,,
AUS,Australia,ASH,Fly ash,GEN,Waste generated,2015,2015,12239.577,,
AUS,Australia,ASH,Fly ash,GEN,Waste generated,2016,2016,12200.009,,
AUS,Australia,ASH,Fly ash,GEN,Waste generated,2017,2017,12223.554,,
AUS,Australia,ASH,Fly ash,GEN,Waste generated,2018,2018,12339.676,,
AUS,Australia,ASH,Fly ash,GEN,Waste generated,2019,2019,12529.224,,
AUS,Australia,ASH,Fly ash,RECYCLED,Waste recycled in country,2015,2015,5365.143,,
AUS,Australia,ASH,Fly ash,RECYCLED,Waste recycled in country,2016,2016,5055.938,,
AUS,Australia,ASH,Fly ash,RECYCLED,Waste recycled in country,2017,2017,6026.692,,
AUS,Australia,ASH,Fly ash,RECYCLED,Waste recycled in country,2018,2018,6313.945,,
AUS,Australia,ASH,Fly ash,RECYCLED,Waste recycled in country,2019,2019,5888.959,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",COL_RECYCLE,Waste collected for recycling,2010,2010,1503.791,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",COL_RECYCLE,Waste collected for recycling,2012,2012,1994.992,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",COL_RECYCLE,Waste collected for recycling,2014,2014,1883.503,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",COL_RECYCLE,Waste collected for recycling,2016,2016,2329.183,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",COL_RECYCLE,Waste collected for recycling,2018,2018,2607.66,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",COL_RECYCLE,Waste collected for recycling,2020,2020,2543.663,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2004,2004,1057.598,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2005,2005,1093.282,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2006,2006,1212.197,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2007,2007,1345.262,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2008,2008,1304.581,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2009,2009,1188.991,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2010,2010,1333.214,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2011,2011,1420.077,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2012,2012,1310.531,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2013,2013,1231.461,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2014,2014,1182.059,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2015,2015,1247.45,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2016,2016,1279.04,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2017,2017,1226.062,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2018,2018,1493.914,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2019,2019,1493.538,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2020,2020,1515.55,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",IMP_RECYCLE,Imports of waste for recycling,2021,2021,1697.609,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2004,2004,233.147,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2005,2005,239.407,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2006,2006,311.968,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2007,2007,464.833,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2008,2008,374.744,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2009,2009,440.089,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2010,2010,437.842,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2011,2011,418.19,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2012,2012,370.072,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2013,2013,359.207,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2014,2014,356.904,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2015,2015,398.854,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2016,2016,417.585,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2017,2017,357.405,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2018,2018,362.368,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2019,2019,315.738,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2020,2020,249.957,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2021,2021,263.148,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",INC_RECOVERY,Waste incinerated with energy recovery,2010,2010,13.709,,
AUT,Austria,PAPER,"Paper, paperboard and paper products",INC_RECOVERY,Waste incinerated with energy recovery,2012,2012,10.546,,
AUT,Austria,GLASS,Glass,COL_RECYCLE,Waste collected for recycling,2010,2010,270.514,,
AUT,Austria,GLASS,Glass,COL_RECYCLE,Waste collected for recycling,2012,2012,299.494,,
AUT,Austria,GLASS,Glass,COL_RECYCLE,Waste collected for recycling,2014,2014,261.022,,
AUT,Austria,GLASS,Glass,COL_RECYCLE,Waste collected for recycling,2016,2016,236.692,,
AUT,Austria,GLASS,Glass,COL_RECYCLE,Waste collected for recycling,2018,2018,233.271,,
AUT,Austria,GLASS,Glass,COL_RECYCLE,Waste collected for recycling,2020,2020,275.579,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2004,2004,39.131,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2005,2005,61.253,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2006,2006,76.871,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2007,2007,62.785,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2008,2008,69.793,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2009,2009,77.93,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2010,2010,69.729,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2011,2011,90.196,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2012,2012,88.292,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2013,2013,91.894,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2014,2014,100.369,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2015,2015,95.138,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2016,2016,109.345,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2017,2017,120.635,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2018,2018,129.743,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2019,2019,153.888,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2020,2020,134.385,,
AUT,Austria,GLASS,Glass,IMP_RECYCLE,Imports of waste for recycling,2021,2021,137.753,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2004,2004,78.942,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2005,2005,70.125,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2006,2006,66.3,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2007,2007,90.346,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2008,2008,68.088,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2009,2009,84.468,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2010,2010,49.7,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2011,2011,148.402,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2012,2012,93.604,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2013,2013,74.755,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2014,2014,44.678,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2015,2015,84.938,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2016,2016,79.006,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2017,2017,56.916,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2018,2018,95.736,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2019,2019,58.23,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2020,2020,66.401,,
AUT,Austria,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2021,2021,52.191,,
AUT,Austria,GLASS,Glass,INC_RECOVERY,Waste incinerated with energy recovery,2010,2010,0,,
AUT,Austria,GLASS,Glass,INC_RECOVERY,Waste incinerated with energy recovery,2012,2012,0,,
AUT,Austria,OTHER,Other non-ferrous metals,COL_RECYCLE,Waste collected for recycling,2010,2010,256.506,,
AUT,Austria,OTHER,Other non-ferrous metals,COL_RECYCLE,Waste collected for recycling,2012,2012,432.796,,
AUT,Austria,OTHER,Other non-ferrous metals,COL_RECYCLE,Waste collected for recycling,2014,2014,443.286,,
AUT,Austria,OTHER,Other non-ferrous metals,COL_RECYCLE,Waste collected for recycling,2016,2016,578.66,,
AUT,Austria,OTHER,Other non-ferrous metals,COL_RECYCLE,Waste collected for recycling,2018,2018,587.915,,
AUT,Austria,OTHER,Other non-ferrous metals,COL_RECYCLE,Waste collected for recycling,2020,2020,518.637,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2004,2004,266.35,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2005,2005,276.533,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2006,2006,290.922,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2007,2007,181.451,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2008,2008,205.918,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2009,2009,206.344,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2010,2010,235.775,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2011,2011,197.039,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2012,2012,175.897,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2013,2013,139.715,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2014,2014,429.391,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2015,2015,402.12,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2016,2016,425.444,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2017,2017,423.232,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2018,2018,446.956,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2019,2019,437.104,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2020,2020,409.035,,
AUT,Austria,OTHER,Other non-ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2021,2021,454.253,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2004,2004,142.757,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2005,2005,129.802,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2006,2006,149.209,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2007,2007,165.383,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2008,2008,159.699,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2009,2009,198.464,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2010,2010,209.525,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2011,2011,189.879,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2012,2012,213.787,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2013,2013,227.608,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2014,2014,260.314,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2015,2015,231.502,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2016,2016,285.94,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2017,2017,247.336,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2018,2018,229.544,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2019,2019,239.112,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2020,2020,216.63,,
AUT,Austria,OTHER,Other non-ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2021,2021,229.914,,
AUT,Austria,OTHER,Other non-ferrous metals,INC_RECOVERY,Waste incinerated with energy recovery,2010,2010,0.004,,
AUT,Austria,OTHER,Other non-ferrous metals,INC_RECOVERY,Waste incinerated with energy recovery,2012,2012,0,,
AUT,Austria,FERROUS,Ferrous metals,COL_RECYCLE,Waste collected for recycling,2010,2010,1420.398,,
AUT,Austria,FERROUS,Ferrous metals,COL_RECYCLE,Waste collected for recycling,2012,2012,1785.07,,
AUT,Austria,FERROUS,Ferrous metals,COL_RECYCLE,Waste collected for recycling,2014,2014,2561.514,,
AUT,Austria,FERROUS,Ferrous metals,COL_RECYCLE,Waste collected for recycling,2016,2016,2352.441,,
AUT,Austria,FERROUS,Ferrous metals,COL_RECYCLE,Waste collected for recycling,2018,2018,2069.908,,
AUT,Austria,FERROUS,Ferrous metals,COL_RECYCLE,Waste collected for recycling,2020,2020,2221.854,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2004,2004,1101.297,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2005,2005,1086.747,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2006,2006,1068.69,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2007,2007,1349.134,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2008,2008,1596.127,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2009,2009,1161.99,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2010,2010,942.362,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2011,2011,971.015,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2012,2012,969.112,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2013,2013,1108.897,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2014,2014,1233.002,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2015,2015,1180.768,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2016,2016,1015.139,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2017,2017,1117.344,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2018,2018,1096.875,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2019,2019,1119.081,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2020,2020,1122.534,,
AUT,Austria,FERROUS,Ferrous metals,IMP_RECYCLE,Imports of waste for recycling,2021,2021,1276.118,,
AUT,Austria,FERROUS,Ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2004,2004,1158.25,,
AUT,Austria,FERROUS,Ferrous metals,EXP_RECYCLE,Exports of waste for recycling,2005,2005,1031.15,,
